ID  Actual class  Resub pred
  1             1           1
  2             1           1
  3             1           1
  4             1           1
  5             1           1
  6             1           2
  7             1           1
  8             1           1
  9             1           1
 10             1           2
 11             1           1
 12             1           1
 13             1           1
 14             1           1
 15             1           1
 16             1           1
 17             1           1
 18             1           1
 19             1           1
 20             1           3
 21             1           2
 22             2           2
 23             2           2
 24             2           2
 25             2           2
 26             2           1
 27             2           2
 28             2           2
 29             2           2
 30             2           2
 31             2           2
 32             2           2
 33             2           1
 34             2           2
 35             2           2
 36             2           2
 37             2           2
 38             2           2
 39             2           2
 40             2           2
 41             2           2
 42             2           2
 43             2           1
 44             3           3
 45             3           3
 46             3           3
 47             3           3
 48             3           3
 49             3           3
 50             3           3
 51             3           3
 52             3           3
 53             3           3
 54             3           3
 55             3           3
 56             3           3
 57             3           3
 58             3           3
 59             3           3
 60             3           3
 61             3           3
 62             3           3
 63             3           3
 64             3           3
 65             3           3
 66             4           4
 67             4           4
 68             4           4
 69             4           4
 70             4           4
 71             4           4
 72             4           4
 73             4           4
 74             4           4
 75             4           4
 76             4           4
 77             4           4
 78             4           4
 79             4           4
 80             4           4
 81             4           4
 82             4           4
 83             4           4
 84             4           4
 85             4           4
 86             1           1
 87             1           1
 88             1           1
 89             1           1
 90             1           1
 91             1           1
 92             1           1
 93             1           1
 94             1           1
 95             1           1
 96             1           1
 97             1           1
 98             1           1
 99             1           2
100             1           1
101             1           1
102             1           1
103             1           1
104             1           1
105             1           1
106             1           1
107             2           2
108             2           2
109             2           2
110             2           1
111             2           2
112             2           2
113             2           1
114             2           2
115             2           2
116             2           2
117             2           2
118             2           2
119             2           2
120             2           2
121             2           2
122             2           4
123             2           1
124             2           3
125             2           2
126             2           2
127             2           4
128             2           2
129             3           1
130             3           3
131             3           3
132             3           4
133             3           3
134             3           3
135             3           3
136             3           3
137             3           3
138             3           3
139             3           3
140             3           3
141             3           3
142             3           3
143             3           3
144             3           3
145             3           3
146             3           3
147             3           3
148             3           3
149             3           3
150             3           3
151             4           4
152             4           4
153             4           4
154             4           4
155             4           4
156             4           4
157             4           4
158             4           4
159             4           4
160             4           4
161             4           4
162             4           4
163             4           4
164             4           4
165             4           4
166             4           4
167             4           4
168             4           4
169             4           4
170             4           4
171             1           1
172             1           1
173             1           1
174             1           1
175             1           2
176             1           2
177             1           2
178             1           1
179             1           2
180             1           2
181             1           1
182             1           1
183             1           1
184             1           1
185             1           2
186             1           1
187             1           1
188             1           1
189             1           1
190             1           1
191             1           4
192             2           2
193             2           1
194             2           2
195             2           1
196             2           1
197             2           1
198             2           1
199             2           1
200             2           2
201             2           2
202             2           2
203             2           2
204             2           2
205             2           1
206             2           1
207             2           2
208             2           2
209             2           2
210             2           1
211             2           1
212             2           1
213             2           2
214             3           3
215             3           3
216             3           3
217             3           3
218             3           3
219             3           3
220             3           3
221             3           3
222             3           3
223             3           3
224             3           3
225             3           3
226             3           3
227             3           3
228             3           3
229             3           3
230             3           3
231             3           3
232             3           3
233             3           3
234             3           3
235             3           3
236             4           4
237             4           4
238             4           4
239             4           4
240             4           4
241             4           4
242             4           4
243             4           4
244             4           4
245             4           4
246             4           4
247             4           4
248             4           4
249             4           4
250             4           4
251             4           4
252             4           4
253             4           4
254             4           4
255             4           4
256             1           1
257             1           2
258             1           1
259             1           1
260             1           1
261             1           1
262             1           1
263             1           2
264             1           2
265             1           4
266             1           1
267             1           2
268             1           2
269             1           1
270             1           1
271             1           1
272             1           1
273             1           1
274             1           2
275             1           1
276             1           1
277             2           2
278             2           2
279             2           1
280             2           1
281             2           2
282             2           2
283             2           2
284             2           2
285             2           1
286             2           2
287             2           2
288             2           2
289             2           2
290             2           2
291             2           1
292             2           2
293             2           2
294             2           1
295             2           1
296             2           1
297             2           2
298             2           2
299             3           3
300             3           3
301             3           3
302             3           3
303             3           3
304             3           3
305             3           3
306             3           3
307             3           3
308             3           3
309             3           3
310             3           3
311             3           3
312             3           3
313             3           3
314             3           3
315             3           3
316             3           3
317             3           3
318             3           1
319             3           3
320             3           3
321             4           4
322             4           4
323             4           4
324             4           4
325             4           4
