ID  Actual class  Resub pred  Pred Prob
  1.0           1.0         1.0      0.067
  2.0           1.0         1.0      0.001
  3.0           1.0         1.0      0.000
  4.0           1.0         1.0      0.479
  5.0           1.0         2.0      0.957
  6.0           1.0         1.0      0.000
  7.0           1.0         1.0      0.063
  8.0           1.0         1.0      0.031
  9.0           1.0         1.0      0.000
 10.0           1.0         1.0      0.006
 11.0           1.0         1.0      0.036
 12.0           1.0         1.0      0.000
 13.0           1.0         1.0      0.086
 14.0           1.0         1.0      0.000
 15.0           2.0         2.0      0.662
 16.0           2.0         1.0      0.156
 17.0           2.0         2.0      0.619
 18.0           2.0         2.0      0.989
 19.0           2.0         2.0      0.999
 20.0           2.0         2.0      0.997
 21.0           2.0         2.0      0.951
 22.0           2.0         2.0      0.998
 23.0           2.0         2.0      0.706
 24.0           2.0         2.0      0.920
 25.0           2.0         2.0      1.000
 26.0           2.0         2.0      0.965
 27.0           2.0         2.0      0.999
 28.0           2.0         2.0      0.989
 29.0           2.0         2.0      1.000
 30.0           2.0         2.0      0.669
 31.0           2.0         2.0      0.895
 32.0           1.0         2.0      0.946
 33.0           1.0         1.0      0.170
 34.0           1.0         1.0      0.000
 35.0           1.0         1.0      0.010
 36.0           1.0         1.0      0.001
 37.0           1.0         1.0      0.236
 38.0           1.0         1.0      0.020
 39.0           1.0         1.0      0.001
 40.0           1.0         1.0      0.000
 41.0           1.0         1.0      0.363
 42.0           1.0         1.0      0.008
 43.0           1.0         1.0      0.000
 44.0           1.0         2.0      0.964
 45.0           1.0         1.0      0.043
 46.0           2.0         2.0      0.982
 47.0           2.0         2.0      0.996
 48.0           2.0         2.0      0.998
 49.0           2.0         2.0      0.991
 50.0           2.0         2.0      0.992
 51.0           2.0         2.0      0.996
 52.0           2.0         2.0      0.992
 53.0           2.0         2.0      0.544
 54.0           2.0         2.0      0.985
 55.0           2.0         2.0      0.991
 56.0           2.0         2.0      0.509
 57.0           2.0         2.0      1.000
 58.0           2.0         2.0      0.999
 59.0           2.0         2.0      0.999
 60.0           2.0         2.0      0.826
 61.0           2.0         2.0      1.000
 62.0           2.0         2.0      0.971
 63.0           1.0         2.0      0.944
 64.0           1.0         1.0      0.002
 65.0           1.0         1.0      0.001
 66.0           1.0         2.0      0.861
 67.0           1.0         1.0      0.000
 68.0           1.0         1.0      0.000
 69.0           1.0         1.0      0.005
 70.0           1.0         1.0      0.014
 71.0           1.0         1.0      0.288
