ID  Actual class  Resub pred
  1             2           2
  2             2           2
  3             2           2
  4             2           2
  5             2           2
  6             2           2
  7             2           2
  8             2           2
  9             2           2
 10             2           2
 11             2           2
 12             2           2
 13             2           2
 14             2           2
 15             2           2
 16             2           2
 17             2           2
 18             2           1
 19             2           2
 20             2           2
 21             2           2
 22             2           2
 23             2           1
 24             2           2
 25             2           2
 26             2           2
 27             2           2
 28             2           2
 29             2           2
 30             2           2
 31             2           2
 32             2           2
 33             2           2
 34             2           1
 35             2           2
 36             2           2
 37             1           1
 38             1           2
 39             1           2
 40             1           1
 41             1           1
 42             1           2
 43             1           2
 44             1           2
 45             1           2
 46             1           1
 47             1           2
 48             1           2
 49             1           1
 50             1           1
 51             1           2
 52             1           2
 53             1           2
 54             1           1
 55             2           2
 56             2           2
 57             2           2
 58             2           2
 59             2           2
 60             2           2
 61             2           2
 62             2           2
 63             2           2
 64             2           2
 65             2           1
 66             2           2
 67             2           2
 68             2           2
 69             2           2
 70             2           2
 71             2           2
 72             2           2
 73             2           2
 74             2           2
 75             2           2
 76             2           2
 77             2           1
 78             2           2
 79             2           2
 80             2           2
 81             2           2
 82             2           2
 83             2           2
 84             2           1
 85             2           2
 86             2           2
 87             2           2
 88             2           2
 89             2           1
 90             2           2
 91             1           1
 92             1           2
 93             1           1
 94             1           2
 95             1           2
 96             1           1
 97             1           1
 98             1           1
 99             1           2
100             1           1
101             1           1
102             1           1
103             1           1
104             1           2
105             1           2
106             1           1
107             1           1
108             1           1
109             2           2
110             2           2
111             2           2
112             2           2
113             2           2
114             2           2
115             2           2
116             2           2
117             2           2
118             2           2
119             2           2
120             2           2
121             2           2
122             2           2
123             2           2
124             2           2
125             2           2
126             2           1
127             2           2
128             2           2
129             2           2
130             2           2
131             2           2
132             2           2
133             2           2
134             2           2
135             2           1
136             2           2
137             2           2
138             2           2
139             2           2
140             2           2
141             2           2
142             2           2
143             2           1
144             2           2
145             1           2
146             1           1
147             1           1
148             1           2
149             1           2
150             1           2
151             1           1
152             1           2
153             1           1
154             1           2
155             1           2
156             1           1
157             1           2
158             1           1
159             1           1
160             1           2
161             1           1
162             1           2
163             2           2
164             2           2
165             2           2
166             2           2
167             2           2
168             2           2
169             2           2
170             2           2
171             2           2
172             2           2
173             2           2
174             2           2
175             2           2
176             2           2
177             2           2
