time,date,match,stadium
14:00,03.23(토),KTvsSK,문학
14:00,03.24(일),KTvsSK,문학
18:30,03.26(화),KTvsNC,창원
18:30,03.27(수),KTvsNC,창원
18:30,03.28(목),KTvsNC,창원
18:30,03.29(금),KIAvsKT,수원
17:00,03.30(토),KIAvsKT,수원
14:00,03.31(일),KIAvsKT,수원
18:30,04.02(화),KTvs두산,잠실
18:30,04.03(수),KTvs두산,잠실
18:30,04.04(목),KTvs두산,잠실
18:30,04.05(금),LGvsKT,수원
17:00,04.06(토),LGvsKT,수원
14:00,04.07(일),LGvsKT,수원
18:30,04.09(화),KTvs키움,고척
18:30,04.10(수),KTvs키움,고척
18:30,04.11(목),KTvs키움,고척
18:30,04.12(금),KTvs삼성,대구
17:00,04.13(토),KTvs삼성,대구
14:00,04.14(일),KTvs삼성,대구
18:30,04.16(화),한화vsKT,수원
18:30,04.17(수),한화vsKT,수원
18:30,04.18(목),한화vsKT,수원
18:30,04.19(금),KTvs롯데,사직
17:00,04.20(토),KTvs롯데,사직
14:00,04.21(일),KTvs롯데,사직
18:30,04.23(화),NCvsKT,수원
18:30,04.24(수),NCvsKT,수원
18:30,04.25(목),NCvsKT,수원
18:30,04.26(금),SKvsKT,수원
17:00,04.27(토),SKvsKT,수원
14:00,04.28(일),SKvsKT,수원
18:30,04.30(화),KTvsLG,잠실
18:30,05.01(수),KTvsLG,잠실
18:30,05.02(목),KTvsLG,잠실
18:30,05.03(금),KTvs한화,대전
17:00,05.04(토),KTvs한화,대전
14:00,05.05(일),KTvs한화,대전
18:30,05.07(화),롯데vsKT,수원
18:30,05.08(수),롯데vsKT,수원
18:30,05.09(목),롯데vsKT,수원
18:30,05.10(금),키움vsKT,수원
17:00,05.11(토),키움vsKT,수원
14:00,05.12(일),키움vsKT,수원
18:30,05.14(화),KTvsKIA,광주
18:30,05.15(수),KTvsKIA,광주
18:30,05.16(목),KTvsKIA,광주
18:30,05.17(금),삼성vsKT,수원
17:00,05.18(토),삼성vsKT,수원
14:00,05.19(일),삼성vsKT,수원
18:30,05.21(화),두산vsKT,수원
18:30,05.22(수),두산vsKT,수원
18:30,05.23(목),두산vsKT,수원
18:30,05.24(금),KTvsKIA,광주
17:00,05.25(토),KTvsKIA,광주
14:00,05.26(일),KTvsKIA,광주
18:30,05.28(화),KTvsSK,문학
18:30,05.29(수),KTvsSK,문학
18:30,05.30(목),KTvsSK,문학
18:30,05.31(금),두산vsKT,수원
17:00,06.01(토),두산vsKT,수원
17:00,06.02(일),두산vsKT,수원
18:30,06.04(화),KTvsLG,잠실
18:30,06.05(수),KTvsLG,잠실
17:00,06.06(목),KTvsLG,잠실
18:30,06.07(금),롯데vsKT,수원
17:00,06.08(토),롯데vsKT,수원
17:00,06.09(일),롯데vsKT,수원
18:30,06.11(화),SKvsKT,수원
18:30,06.12(수),SKvsKT,수원
18:30,06.13(목),SKvsKT,수원
18:30,06.14(금),KTvs삼성,대구
17:00,06.15(토),KTvs삼성,대구
17:00,06.16(일),KTvs삼성,대구
18:30,06.18(화),KTvs키움,고척
18:30,06.19(수),KTvs키움,고척
18:30,06.20(목),KTvs키움,고척
18:30,06.21(금),NCvsKT,수원
17:00,06.22(토),NCvsKT,수원
17:00,06.23(일),NCvsKT,수원
18:30,06.25(화),KTvs롯데,사직
18:30,06.26(수),KTvs롯데,사직
18:30,06.27(목),KTvs롯데,사직
18:30,06.28(금),KIAvsKT,수원
17:00,06.29(토),KIAvsKT,수원
17:00,06.30(일),KIAvsKT,수원
18:30,07.02(화),삼성vsKT,수원
18:30,07.03(수),삼성vsKT,수원
18:30,07.04(목),삼성vsKT,수원
18:30,07.05(금),KTvs한화,대전
18:00,07.06(토),KTvs한화,대전
18:00,07.07(일),KTvs한화,대전
18:30,07.09(화),키움vsKT,수원
18:30,07.10(수),키움vsKT,수원
18:30,07.11(목),키움vsKT,수원
18:30,07.12(금),KTvsNC,창원
18:00,07.13(토),KTvsNC,창원
18:00,07.14(일),KTvsNC,창원
18:30,07.16(화),KTvs두산,잠실
18:30,07.17(수),KTvs두산,잠실
18:30,07.18(목),KTvs두산,잠실
18:30,07.26(금),LGvsKT,수원
18:00,07.27(토),LGvsKT,수원
18:00,07.28(일),LGvsKT,수원
18:30,07.30(화),한화vsKT,수원
18:30,07.31(수),한화vsKT,수원
