time,date,match,stadium
14:00,03.23(토),LGvsKIA,광주
14:00,03.24(일),LGvsKIA,광주
18:30,03.26(화),LGvsSK,문학
18:30,03.27(수),LGvsSK,문학
18:30,03.28(목),LGvsSK,문학
18:30,03.29(금),롯데vsLG,잠실
17:00,03.30(토),롯데vsLG,잠실
14:00,03.31(일),롯데vsLG,잠실
18:30,04.02(화),LGvs한화,대전
18:30,04.03(수),LGvs한화,대전
18:30,04.04(목),LGvs한화,대전
18:30,04.05(금),LGvsKT,수원
17:00,04.06(토),LGvsKT,수원
14:00,04.07(일),LGvsKT,수원
18:30,04.09(화),삼성vsLG,잠실
18:30,04.10(수),삼성vsLG,잠실
18:30,04.11(목),삼성vsLG,잠실
18:30,04.12(금),두산vsLG,잠실
17:00,04.13(토),두산vsLG,잠실
14:00,04.14(일),두산vsLG,잠실
18:30,04.16(화),LGvsNC,창원
18:30,04.17(수),LGvsNC,창원
18:30,04.18(목),LGvsNC,창원
18:30,04.19(금),키움vsLG,잠실
17:00,04.20(토),키움vsLG,잠실
14:00,04.21(일),키움vsLG,잠실
18:30,04.23(화),KIAvsLG,잠실
18:30,04.24(수),KIAvsLG,잠실
18:30,04.25(목),KIAvsLG,잠실
18:30,04.26(금),LGvs삼성,대구
17:00,04.27(토),LGvs삼성,대구
14:00,04.28(일),LGvs삼성,대구
18:30,04.30(화),KTvsLG,잠실
18:30,05.01(수),KTvsLG,잠실
18:30,05.02(목),KTvsLG,잠실
18:30,05.03(금),LGvs두산,잠실
17:00,05.04(토),LGvs두산,잠실
14:00,05.05(일),LGvs두산,잠실
18:30,05.07(화),LGvs키움,고척
18:30,05.08(수),LGvs키움,고척
18:30,05.09(목),LGvs키움,고척
18:30,05.10(금),한화vsLG,잠실
17:00,05.11(토),한화vsLG,잠실
14:00,05.12(일),한화vsLG,잠실
18:30,05.14(화),LGvs롯데,사직
18:30,05.15(수),LGvs롯데,사직
18:30,05.16(목),LGvs롯데,사직
18:30,05.17(금),NCvsLG,잠실
17:00,05.18(토),NCvsLG,잠실
14:00,05.19(일),NCvsLG,잠실
18:30,05.21(화),SKvsLG,잠실
18:30,05.22(수),SKvsLG,잠실
18:30,05.23(목),SKvsLG,잠실
18:30,05.24(금),LGvs롯데,사직
17:00,05.25(토),LGvs롯데,사직
14:00,05.26(일),LGvs롯데,사직
18:30,05.28(화),LGvs키움,고척
18:30,05.29(수),LGvs키움,고척
18:30,05.30(목),LGvs키움,고척
18:30,05.31(금),NCvsLG,잠실
17:00,06.01(토),NCvsLG,잠실
17:00,06.02(일),NCvsLG,잠실
18:30,06.04(화),KTvsLG,잠실
18:30,06.05(수),KTvsLG,잠실
17:00,06.06(목),KTvsLG,잠실
18:30,06.07(금),LGvs한화,대전
17:00,06.08(토),LGvs한화,대전
17:00,06.09(일),LGvs한화,대전
18:30,06.11(화),롯데vsLG,잠실
18:30,06.12(수),롯데vsLG,잠실
18:30,06.13(목),롯데vsLG,잠실
18:30,06.14(금),LGvs두산,잠실
17:00,06.15(토),LGvs두산,잠실
17:00,06.16(일),LGvs두산,잠실
18:30,06.18(화),LGvs삼성,대구
18:30,06.19(수),LGvs삼성,대구
18:30,06.20(목),LGvs삼성,대구
18:30,06.21(금),KIAvsLG,잠실
17:00,06.22(토),KIAvsLG,잠실
17:00,06.23(일),KIAvsLG,잠실
18:30,06.25(화),SKvsLG,잠실
18:30,06.26(수),SKvsLG,잠실
18:30,06.27(목),SKvsLG,잠실
18:30,06.28(금),LGvsNC,창원
17:00,06.29(토),LGvsNC,창원
17:00,06.30(일),LGvsNC,창원
18:30,07.02(화),한화vsLG,잠실
18:30,07.03(수),한화vsLG,잠실
18:30,07.04(목),한화vsLG,잠실
18:30,07.05(금),LGvsKIA,광주
18:00,07.06(토),LGvsKIA,광주
18:00,07.07(일),LGvsKIA,광주
18:30,07.09(화),두산vsLG,잠실
18:30,07.10(수),두산vsLG,잠실
18:30,07.11(목),두산vsLG,잠실
18:30,07.12(금),삼성vsLG,잠실
18:00,07.13(토),삼성vsLG,잠실
18:00,07.14(일),삼성vsLG,잠실
18:30,07.16(화),LGvsSK,문학
18:30,07.17(수),LGvsSK,문학
18:30,07.18(목),LGvsSK,문학
18:30,07.26(금),LGvsKT,수원
18:00,07.27(토),LGvsKT,수원
18:00,07.28(일),LGvsKT,수원
18:30,07.30(화),키움vsLG,잠실
18:30,07.31(수),키움vsLG,잠실
