time,date,match,stadium
14:00,03.23(토),삼성vsNC,창원
14:00,03.24(일),삼성vsNC,창원
18:30,03.26(화),KTvsNC,창원
18:30,03.27(수),KTvsNC,창원
18:30,03.28(목),KTvsNC,창원
18:30,03.29(금),NCvs한화,대전
17:00,03.30(토),NCvs한화,대전
14:00,03.31(일),NCvs한화,대전
18:30,04.02(화),키움vsNC,창원
18:30,04.03(수),키움vsNC,창원
18:30,04.04(목),키움vsNC,창원
18:30,04.05(금),NCvs두산,잠실
17:00,04.06(토),NCvs두산,잠실
14:00,04.07(일),NCvs두산,잠실
18:30,04.09(화),NCvsKIA,광주
18:30,04.10(수),NCvsKIA,광주
18:30,04.11(목),NCvsKIA,광주
18:30,04.12(금),롯데vsNC,창원
17:00,04.13(토),롯데vsNC,창원
14:00,04.14(일),롯데vsNC,창원
18:30,04.16(화),LGvsNC,창원
18:30,04.17(수),LGvsNC,창원
18:30,04.18(목),LGvsNC,창원
18:30,04.19(금),NCvsSK,문학
17:00,04.20(토),NCvsSK,문학
14:00,04.21(일),NCvsSK,문학
18:30,04.23(화),NCvsKT,수원
18:30,04.24(수),NCvsKT,수원
18:30,04.25(목),NCvsKT,수원
18:30,04.26(금),한화vsNC,창원
17:00,04.27(토),한화vsNC,창원
14:00,04.28(일),한화vsNC,창원
18:30,04.30(화),NCvs롯데,사직
18:30,05.01(수),NCvs롯데,사직
18:30,05.02(목),NCvs롯데,사직
18:30,05.03(금),KIAvsNC,창원
17:00,05.04(토),KIAvsNC,창원
14:00,05.05(일),KIAvsNC,창원
18:30,05.07(화),NCvs삼성,대구
18:30,05.08(수),NCvs삼성,대구
18:30,05.09(목),NCvs삼성,대구
18:30,05.10(금),두산vsNC,창원
17:00,05.11(토),두산vsNC,창원
14:00,05.12(일),두산vsNC,창원
18:30,05.14(화),SKvsNC,창원
18:30,05.15(수),SKvsNC,창원
18:30,05.16(목),SKvsNC,창원
18:30,05.17(금),NCvsLG,잠실
17:00,05.18(토),NCvsLG,잠실
14:00,05.19(일),NCvsLG,잠실
18:30,05.21(화),NCvs키움,고척
18:30,05.22(수),NCvs키움,고척
18:30,05.23(목),NCvs키움,고척
18:30,05.24(금),SKvsNC,창원
17:00,05.25(토),SKvsNC,창원
14:00,05.26(일),SKvsNC,창원
18:30,05.28(화),롯데vsNC,창원
18:30,05.29(수),롯데vsNC,창원
18:30,05.30(목),롯데vsNC,창원
18:30,05.31(금),NCvsLG,잠실
17:00,06.01(토),NCvsLG,잠실
17:00,06.02(일),NCvsLG,잠실
18:30,06.04(화),NCvs삼성,대구
18:30,06.05(수),NCvs삼성,대구
17:00,06.06(목),NCvs삼성,대구
18:30,06.07(금),KIAvsNC,창원
17:00,06.08(토),KIAvsNC,창원
17:00,06.09(일),KIAvsNC,창원
18:30,06.11(화),키움vsNC,창원
18:30,06.12(수),키움vsNC,창원
18:30,06.13(목),키움vsNC,창원
18:30,06.14(금),NCvsSK,문학
17:00,06.15(토),NCvsSK,문학
17:00,06.16(일),NCvsSK,문학
18:30,06.18(화),NCvs두산,잠실
18:30,06.19(수),NCvs두산,잠실
18:30,06.20(목),NCvs두산,잠실
18:30,06.21(금),NCvsKT,수원
17:00,06.22(토),NCvsKT,수원
17:00,06.23(일),NCvsKT,수원
18:30,06.25(화),한화vsNC,창원
18:30,06.26(수),한화vsNC,창원
18:30,06.27(목),한화vsNC,창원
18:30,06.28(금),LGvsNC,창원
17:00,06.29(토),LGvsNC,창원
17:00,06.30(일),LGvsNC,창원
18:30,07.02(화),NCvsKIA,광주
18:30,07.03(수),NCvsKIA,광주
18:30,07.04(목),NCvsKIA,광주
18:30,07.05(금),삼성vsNC,창원
18:00,07.06(토),삼성vsNC,창원
18:00,07.07(일),삼성vsNC,창원
18:30,07.09(화),NCvs롯데,사직
18:30,07.10(수),NCvs롯데,사직
18:30,07.11(목),NCvs롯데,사직
18:30,07.12(금),KTvsNC,창원
18:00,07.13(토),KTvsNC,창원
18:00,07.14(일),KTvsNC,창원
18:30,07.16(화),NCvs한화,대전
18:30,07.17(수),NCvs한화,대전
18:30,07.18(목),NCvs한화,대전
18:30,07.26(금),NCvs키움,고척
18:00,07.27(토),NCvs키움,고척
18:00,07.28(일),NCvs키움,고척
18:30,07.30(화),두산vsNC,창원
18:30,07.31(수),두산vsNC,창원
