2타,3타,B4,HR,OPS,WAR,WOBA,WPA,WRC+,age,batter_name,g,position,team,year,year_born,고4,도루,도실,득점,루타,병살,사구,삼진,안타,장타,출루,타석,타수,타율,타점,희비,희타
9,0,9,8,0.903,1.53,0.388,0.32,131.4,33,가르시아,50,3B,LG,2018,1985-04-12,0,5,0,27,95,3,8,25,62,0.519,0.384,206,183,0.339,34,6,0
0,0,0,0,0.000,0.01,0.000,,,19,강경학,2,3B,한화,2011,1992-08-11,0,0,0,0,0,0,0,1,0,0.000,0.000,1,1,0.000,0,0,0
2,3,13,1,0.686,0.21,0.316,-0.11,65.6,22,강경학,41,SS,한화,2014,1992-08-11,0,0,0,11,30,1,2,28,19,0.349,0.337,103,86,0.221,7,0,2
7,4,40,2,0.673,0.11,0.304,-0.32,66.4,23,강경학,120,SS,한화,2015,1992-08-11,1,4,3,50,101,3,5,58,80,0.325,0.348,376,311,0.257,27,3,18
3,2,8,1,0.490,-0.69,0.223,-1.10,10.5,24,강경학,46,SS,한화,2016,1992-08-11,0,0,0,16,26,5,2,30,16,0.257,0.232,116,101,0.158,7,1,4
2,1,8,0,0.552,-0.16,0.264,-0.81,44.1,25,강경학,59,2B,한화,2017,1992-08-11,0,1,1,17,22,1,1,19,18,0.262,0.290,93,84,0.214,4,0,0
11,1,38,5,0.774,1.38,0.353,0.77,101.4,26,강경학,77,2B,한화,2018,1992-08-11,0,6,3,42,96,7,4,59,68,0.392,0.382,289,245,0.278,27,1,1
2,0,7,0,0.412,-0.37,0.207,,16.4,23,백승룡,39,SS,한화,2005,1982-08-16,0,1,2,9,10,1,4,15,8,0.159,0.253,79,63,0.127,3,1,4
2,0,8,0,0.521,0.07,0.270,,65.9,24,백승룡,37,,한화,2006,1982-08-16,0,1,0,6,7,0,2,14,5,0.194,0.326,47,36,0.139,0,0,1
0,0,0,0,0.000,-0.09,0.000,,-126.9,25,백승룡,8,,한화,2007,1982-08-16,0,0,0,3,0,1,0,2,0,0.000,0.000,4,4,0.000,0,0,0
0,0,0,0,0.000,-0.02,0.000,,-122.1,26,백승룡,2,SS,한화,2008,1982-08-16,0,0,0,0,0,0,0,0,0,0.000,0.000,1,1,0.000,0,0,0
2,0,7,0,0.516,-0.13,0.250,,42.2,29,백승룡,38,2B,한화,2011,1982-08-16,0,1,1,7,11,1,2,13,9,0.216,0.300,64,51,0.176,3,0,4
1,0,6,0,0.594,0.25,0.297,,81.5,30,백승룡,33,2B,한화,2012,1982-08-16,0,3,0,3,13,0,3,20,12,0.250,0.344,62,52,0.231,3,0,1
0,0,0,0,,0.00,,,,31,백승룡,2,2B,한화,2013,1982-08-16,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0
7,0,20,4,0.616,1.23,0.289,,75.3,23,진갑용,95,C,OB,1997,1974-05-08,0,2,0,21,87,7,6,44,68,0.310,0.306,309,281,0.242,20,0,2
14,1,14,2,0.662,1.22,0.298,,82.4,24,진갑용,88,C,OB,1998,1974-05-08,0,1,1,12,90,10,0,44,68,0.356,0.306,271,253,0.269,22,1,3
3,0,10,4,0.572,-0.17,0.256,,41.4,25,진갑용,68,C,"두산,삼성",1999,1974-05-08,0,0,2,13,48,7,2,29,33,0.308,0.265,172,156,0.212,17,2,2
2,0,4,3,0.676,0.31,0.302,,72.0,25,진갑용,33,C,삼성,,1974-05-08,0,0,1,8,37,2,2,17,26,0.374,0.302,106,99,0.263,15,1,0
1,0,6,1,0.396,-0.49,0.184,,-10.4,25,진갑용,35,C,두산,,1974-05-08,0,0,1,5,11,5,0,12,7,0.193,0.203,66,57,0.123,2,1,2
14,0,23,8,0.734,2.00,0.332,,94.0,26,진갑용,114,C,삼성,2000,1974-05-08,0,2,1,30,119,7,6,45,81,0.401,0.333,330,297,0.273,58,4,0
25,2,23,7,0.826,2.98,0.370,,113.7,27,진갑용,89,C,삼성,2001,1974-05-08,2,2,3,54,146,4,7,37,96,0.465,0.361,349,314,0.306,57,5,0
29,1,41,18,0.812,4.59,0.354,,117.8,28,진갑용,133,C,삼성,2002,1974-05-08,4,0,0,58,215,13,8,56,130,0.465,0.347,517,462,0.281,86,5,1
