time,date,match,stadium
14:00,03.23(토),LGvsKIA,광주
14:00,03.24(일),LGvsKIA,광주
18:30,03.26(화),한화vsKIA,광주
18:30,03.27(수),한화vsKIA,광주
18:30,03.28(목),한화vsKIA,광주
18:30,03.29(금),KIAvsKT,수원
17:00,03.30(토),KIAvsKT,수원
14:00,03.31(일),KIAvsKT,수원
18:30,04.02(화),KIAvs삼성,대구
18:30,04.03(수),KIAvs삼성,대구
18:30,04.04(목),KIAvs삼성,대구
18:30,04.05(금),키움vsKIA,광주
17:00,04.06(토),키움vsKIA,광주
14:00,04.07(일),키움vsKIA,광주
18:30,04.09(화),NCvsKIA,광주
18:30,04.10(수),NCvsKIA,광주
18:30,04.11(목),NCvsKIA,광주
18:30,04.12(금),KIAvsSK,문학
17:00,04.13(토),KIAvsSK,문학
14:00,04.14(일),KIAvsSK,문학
18:30,04.16(화),KIAvs롯데,사직
18:30,04.17(수),KIAvs롯데,사직
18:30,04.18(목),KIAvs롯데,사직
18:30,04.19(금),두산vsKIA,광주
17:00,04.20(토),두산vsKIA,광주
14:00,04.21(일),두산vsKIA,광주
18:30,04.23(화),KIAvsLG,잠실
18:30,04.24(수),KIAvsLG,잠실
18:30,04.25(목),KIAvsLG,잠실
18:30,04.26(금),KIAvs키움,고척
17:00,04.27(토),KIAvs키움,고척
14:00,04.28(일),KIAvs키움,고척
18:30,04.30(화),삼성vsKIA,광주
18:30,05.01(수),삼성vsKIA,광주
18:30,05.02(목),삼성vsKIA,광주
18:30,05.03(금),KIAvsNC,창원
17:00,05.04(토),KIAvsNC,창원
14:00,05.05(일),KIAvsNC,창원
18:30,05.07(화),KIAvs두산,잠실
18:30,05.08(수),KIAvs두산,잠실
18:30,05.09(목),KIAvs두산,잠실
18:30,05.10(금),SKvsKIA,광주
17:00,05.11(토),SKvsKIA,광주
14:00,05.12(일),SKvsKIA,광주
18:30,05.14(화),KTvsKIA,광주
18:30,05.15(수),KTvsKIA,광주
18:30,05.16(목),KTvsKIA,광주
18:30,05.17(금),KIAvs한화,대전
17:00,05.18(토),KIAvs한화,대전
14:00,05.19(일),KIAvs한화,대전
18:30,05.21(화),롯데vsKIA,광주
18:30,05.22(수),롯데vsKIA,광주
18:30,05.23(목),롯데vsKIA,광주
18:30,05.24(금),KTvsKIA,광주
17:00,05.25(토),KTvsKIA,광주
14:00,05.26(일),KTvsKIA,광주
18:30,05.28(화),KIAvs한화,대전
18:30,05.29(수),KIAvs한화,대전
18:30,05.30(목),KIAvs한화,대전
18:30,05.31(금),키움vsKIA,광주
17:00,06.01(토),키움vsKIA,광주
17:00,06.02(일),키움vsKIA,광주
18:30,06.04(화),두산vsKIA,광주
18:30,06.05(수),두산vsKIA,광주
17:00,06.06(목),두산vsKIA,광주
18:30,06.07(금),KIAvsNC,창원
17:00,06.08(토),KIAvsNC,창원
17:00,06.09(일),KIAvsNC,창원
18:30,06.11(화),삼성vsKIA,광주
18:30,06.12(수),삼성vsKIA,광주
18:30,06.13(목),삼성vsKIA,광주
18:30,06.14(금),KIAvs롯데,사직
17:00,06.15(토),KIAvs롯데,사직
17:00,06.16(일),KIAvs롯데,사직
18:30,06.18(화),SKvsKIA,광주
18:30,06.19(수),SKvsKIA,광주
18:30,06.20(목),SKvsKIA,광주
18:30,06.21(금),KIAvsLG,잠실
17:00,06.22(토),KIAvsLG,잠실
17:00,06.23(일),KIAvsLG,잠실
18:30,06.25(화),KIAvs키움,고척
18:30,06.26(수),KIAvs키움,고척
18:30,06.27(목),KIAvs키움,고척
18:30,06.28(금),KIAvsKT,수원
17:00,06.29(토),KIAvsKT,수원
17:00,06.30(일),KIAvsKT,수원
18:30,07.02(화),NCvsKIA,광주
18:30,07.03(수),NCvsKIA,광주
18:30,07.04(목),NCvsKIA,광주
18:30,07.05(금),LGvsKIA,광주
18:00,07.06(토),LGvsKIA,광주
18:00,07.07(일),LGvsKIA,광주
18:30,07.09(화),KIAvs삼성,대구
18:30,07.10(수),KIAvs삼성,대구
18:30,07.11(목),KIAvs삼성,대구
18:30,07.12(금),한화vsKIA,광주
18:00,07.13(토),한화vsKIA,광주
18:00,07.14(일),한화vsKIA,광주
18:30,07.16(화),롯데vsKIA,광주
18:30,07.17(수),롯데vsKIA,광주
18:30,07.18(목),롯데vsKIA,광주
18:30,07.26(금),KIAvs두산,잠실
18:00,07.27(토),KIAvs두산,잠실
18:00,07.28(일),KIAvs두산,잠실
18:30,07.30(화),KIAvsSK,문학
18:30,07.31(수),KIAvsSK,문학
