time,date,match,stadium
14:00,03.23(토),키움vs롯데,사직
14:00,03.24(일),키움vs롯데,사직
18:30,03.26(화),키움vs두산,잠실
18:30,03.27(수),키움vs두산,잠실
18:30,03.28(목),키움vs두산,잠실
18:30,03.29(금),SKvs키움,고척
17:00,03.30(토),SKvs키움,고척
14:00,03.31(일),SKvs키움,고척
18:30,04.02(화),키움vsNC,창원
18:30,04.03(수),키움vsNC,창원
18:30,04.04(목),키움vsNC,창원
18:30,04.05(금),키움vsKIA,광주
17:00,04.06(토),키움vsKIA,광주
14:00,04.07(일),키움vsKIA,광주
18:30,04.09(화),KTvs키움,고척
18:30,04.10(수),KTvs키움,고척
18:30,04.11(목),KTvs키움,고척
18:30,04.12(금),한화vs키움,고척
17:00,04.13(토),한화vs키움,고척
14:00,04.14(일),한화vs키움,고척
18:30,04.16(화),키움vs삼성,대구
18:30,04.17(수),키움vs삼성,대구
18:30,04.18(목),키움vs삼성,대구
18:30,04.19(금),키움vsLG,잠실
17:00,04.20(토),키움vsLG,잠실
14:00,04.21(일),키움vsLG,잠실
18:30,04.23(화),두산vs키움,고척
18:30,04.24(수),두산vs키움,고척
18:30,04.25(목),두산vs키움,고척
18:30,04.26(금),KIAvs키움,고척
17:00,04.27(토),KIAvs키움,고척
14:00,04.28(일),KIAvs키움,고척
18:30,04.30(화),키움vsSK,문학
18:30,05.01(수),키움vsSK,문학
18:30,05.02(목),키움vsSK,문학
18:30,05.03(금),삼성vs키움,고척
17:00,05.04(토),삼성vs키움,고척
14:00,05.05(일),삼성vs키움,고척
18:30,05.07(화),LGvs키움,고척
18:30,05.08(수),LGvs키움,고척
18:30,05.09(목),LGvs키움,고척
18:30,05.10(금),키움vsKT,수원
17:00,05.11(토),키움vsKT,수원
14:00,05.12(일),키움vsKT,수원
18:30,05.14(화),키움vs한화,대전
18:30,05.15(수),키움vs한화,대전
18:30,05.16(목),키움vs한화,대전
18:30,05.17(금),롯데vs키움,고척
17:00,05.18(토),롯데vs키움,고척
14:00,05.19(일),롯데vs키움,고척
18:30,05.21(화),NCvs키움,고척
18:30,05.22(수),NCvs키움,고척
18:30,05.23(목),NCvs키움,고척
18:30,05.24(금),키움vs삼성,대구
17:00,05.25(토),키움vs삼성,대구
14:00,05.26(일),키움vs삼성,대구
18:30,05.28(화),LGvs키움,고척
18:30,05.29(수),LGvs키움,고척
18:30,05.30(목),LGvs키움,고척
18:30,05.31(금),키움vsKIA,광주
17:00,06.01(토),키움vsKIA,광주
17:00,06.02(일),키움vsKIA,광주
18:30,06.04(화),SKvs키움,고척
18:30,06.05(수),SKvs키움,고척
17:00,06.06(목),SKvs키움,고척
18:30,06.07(금),키움vs두산,잠실
17:00,06.08(토),키움vs두산,잠실
17:00,06.09(일),키움vs두산,잠실
18:30,06.11(화),키움vsNC,창원
18:30,06.12(수),키움vsNC,창원
18:30,06.13(목),키움vsNC,창원
18:30,06.14(금),한화vs키움,고척
17:00,06.15(토),한화vs키움,고척
17:00,06.16(일),한화vs키움,고척
18:30,06.18(화),KTvs키움,고척
18:30,06.19(수),KTvs키움,고척
18:30,06.20(목),KTvs키움,고척
18:30,06.21(금),키움vs롯데,사직
17:00,06.22(토),키움vs롯데,사직
17:00,06.23(일),키움vs롯데,사직
18:30,06.25(화),KIAvs키움,고척
18:30,06.26(수),KIAvs키움,고척
18:30,06.27(목),KIAvs키움,고척
18:30,06.28(금),키움vs한화,대전
17:00,06.29(토),키움vs한화,대전
17:00,06.30(일),키움vs한화,대전
18:30,07.02(화),두산vs키움,고척
18:30,07.03(수),두산vs키움,고척
18:30,07.04(목),두산vs키움,고척
18:30,07.05(금),롯데vs키움,고척
18:00,07.06(토),롯데vs키움,고척
18:00,07.07(일),롯데vs키움,고척
18:30,07.09(화),키움vsKT,수원
18:30,07.10(수),키움vsKT,수원
18:30,07.11(목),키움vsKT,수원
18:30,07.12(금),키움vsSK,문학
18:00,07.13(토),키움vsSK,문학
18:00,07.14(일),키움vsSK,문학
18:30,07.16(화),삼성vs키움,고척
18:30,07.17(수),삼성vs키움,고척
18:30,07.18(목),삼성vs키움,고척
18:30,07.26(금),NCvs키움,고척
18:00,07.27(토),NCvs키움,고척
18:00,07.28(일),NCvs키움,고척
18:30,07.30(화),키움vsLG,잠실
18:30,07.31(수),키움vsLG,잠실
